序号,年龄,年级,专业,性别,家庭所在地,家庭经济情况,学习成绩,对待体育活动的态度,认知,人际,情感,公正,节制,超越,积极心理品质得分,剧烈运动天数,剧烈运动单日分钟数,每周剧烈MET,适度运动天数,适度运动单日分钟数,每周适度MET,步行天数,步行单日分钟数,每周步行MET,总MET,总天数,"运动强度
1轻2中3强",工作日久坐分钟数,IPAQ_8
96,16,大一,工,1,1,3,3,1,2.42,1.7,2.09,2.22,2.3,1.9,2.32,5,30,1200,5,30,600,7,30,693,2493,17,2,480,跑步
69,17,大一,工,1,1,3,3,2,2.33,2.2,1.55,1.89,2.2,1.9,2.24,0,0,0,0,0,0,7,50,1155,1155,7,2,480,篮球
72,17,1,法,1,2,2,1,3,0.92,0.9,0.91,0.89,0.9,1.3,1.06,0,0,0,0,0,0,6,30,594,594,6,1,480,步行
73,17,大一,工,1,1,3,4,2,1.83,2.1,1.82,1.78,2,1.8,2.16,2,20,320,0,0,0,0,0,0,320,2,1,480,跑步学习
76,17,一,法,1,1,3,3,1,2.67,2.3,2.45,2.33,2,3.1,2.74,3,30,720,3,15,180,5,30,495,1395,11,2,480,跳绳
93,17,大一,工,1,1,3,3,1,1.75,2.6,2.09,2.56,2.1,1.7,2.32,0,0,0,4,30,480,7,30,693,1173,11,2,600,乒乓球
102,17,2021,工,2,1,3,2,2,1.33,1.2,1.27,1.11,1.5,1.8,1.5,5,30,1200,3,30,360,7,60,1386,2946,15,2,480,跑步
104,17,大一,工,2,1,4,3,2,2.83,2.7,2.73,2.67,2.7,2.7,3.05,3,30,720,1,30,120,7,30,693,1533,11,2,360,跑步
128,17,大一,工,1,1,3,2,2,2.33,2.5,2.36,2.44,2.6,2.1,2.63,2,30,480,5,30,600,7,60,1386,2466,14,2,720,跑步
179,17,大一,理,2,2,3,2,2,1.92,1.9,1.45,1.89,2.5,1.7,2.03,3,15,360,0,0,0,7,30,693,1053,10,2,480,慢跑
195,17,大一,管理,2,2,2,3,1,1.92,2,1.64,2.22,2.3,1.9,2.21,2,60,960,1,60,240,0,0,0,1200,3,2,120,篮球
246,17,21级,法,2,2,3,3,2,1.83,1.6,1.55,1.44,2,1.8,1.9,3,20,480,5,60,1200,7,180,4158,5838,15,3,480,跑步
293,17,大一,理,2,1,3,3,3,1.67,1.5,1.36,1.67,1.6,1.8,1.87,0,0,0,7,30,840,7,60,1386,2226,14,2,480,走路
327,17,大一,理,2,2,3,3,3,1.33,1.4,1.27,1.67,1.4,1,1.52,7,30,1680,5,60,1200,7,70,1617,4497,19,3,480,跑步
539,17,大一,工,2,1,3,2,2,1.42,1.1,2,1.33,1.6,1.6,1.74,0,0,0,0,0,0,7,30,693,693,7,2,600,打羽毛球
574,17,大一,管理,2,1,3,3,2,2.83,2.3,3,2.56,2.7,2.8,2.97,7,60,3360,7,30,840,7,30,693,4893,21,3,600,跑步
599,17,大一,工,2,1,3,2,2,3.25,2.2,2.36,1.67,1.9,2.8,2.66,3,25,600,0,0,0,5,30,495,1095,8,2,720,慢跑
649,17,大一,管理,2,2,3,3,2,2.5,2.2,2.27,2.56,2.2,1.8,2.48,3,20,480,7,30,840,7,30,693,2013,17,2,480,跑步
778,17,2021,工,1,1,3,3,2,2.08,1.9,2,1.89,2.1,2.2,2.26,0,0,0,0,0,0,7,30,693,693,7,2,480,跑步，篮球
792,17,2021级,文,1,1,3,3,1,2.5,2.4,1.91,2.22,2.7,1.8,2.48,3,30,720,5,30,600,3,30,297,1617,11,2,480,篮球
807,17,2021级,文,1,2,3,3,1,2.5,2.3,1.82,2.33,2.1,2,2.42,4,30,960,3,30,360,2,20,132,1452,9,2,480,羽毛球
959,17,2021,理,1,1,3,3,2,3.17,2.8,3.64,3.22,2.8,3.1,3.42,0,0,0,3,30,360,7,30,693,1053,10,2,480,跑步
