序号,年龄,年级,专业,性别,家庭所在地,家庭经济情况,学习成绩,对待体育活动的态度,认知,人际,情感,公正,节制,超越,积极心理品质得分,剧烈运动天数,剧烈运动单日分钟数,每周剧烈MET,适度运动天数,适度运动单日分钟数,每周适度MET,步行天数,步行单日分钟数,每周步行MET,总MET,总天数,"运动强度
1轻2中3强",工作日久坐分钟数,IPAQ_8,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
1,19,大二,法,2,2,3,3,2,2.67,2.6,2.09,2.22,1.9,2.7,2.58,0,0,0,1,30,120,0,0,0,120.0,1,1,480,跳绳,4,4,3,3,3,1,3,1,1,3,1,1,1,3,1,3,1,3,2,2,1,2,2,3,3,2,3,2,1,4,3,5,4,3,2,3,1,4,1,4,5,4,4,3,4,3,1,4,4,3,2,3,2,1,2,1,4,3,2,1,4,3
3,19,大二,工,1,1,2,3,2,2.5,2.1,1.82,2.22,2.4,1.8,2.42,0,0,0,0,0,0,7,90,2079,2079.0,7,2,240,躺着,4,2,2,1,2,2,3,2,3,4,2,1,2,1,3,2,2,3,3,2,3,2,2,3,2,3,2,3,3,5,3,3,2,3,3,4,2,2,4,3,2,3,3,2,2,3,3,2,1,4,2,3,2,3,2,1,2,2,2,1,1,1
4,19,大二,文,2,1,3,3,3,2.83,3.0,2.73,2.78,2.6,2.7,3.08,0,0,0,2,30,240,5,30,495,735.0,7,2,480,走路,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3
5,19,20级,工,2,2,2,3,2,1.67,1.8,1.91,2.0,2.2,1.5,2.06,0,0,0,1,30,120,7,40,924,1044.0,8,2,360,跳绳，有氧运动,4,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,1,1,2,2,3,2,3,2,2,3,2,2,2,2,1,1,1,3,2,2,2,3,2,2,2,3,3,2,2,2,2,1,3,2,2,2,3,2,2,2,3
6,19,20,工,1,1,3,3,1,1.67,1.7,1.73,1.78,2.1,1.5,1.92,5,39,1560,7,30,840,7,60,1386,3786.0,19,3,500,篮球,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,1,2,2,4,2,1,2,1,3,3,3,1,1,1,1,1,2,2,3,1,2,3,2,3,1,2,3,1,2,2,2,3,2,1,2,1,3,2
7,20,2020,工,2,2,3,3,2,2.75,2.2,2.27,2.0,2.4,1.9,2.53,1,40,320,3,30,360,7,30,693,1373.0,11,2,480,跑步,4,3,3,2,2,3,3,2,3,2,2,2,2,2,3,3,3,3,2,2,4,2,2,3,2,2,2,3,3,3,4,2,2,4,4,3,2,2,2,2,2,2,3,3,3,4,3,2,2,4,2,2,2,3,2,1,2,2,2,2,2,3
8,19,20级,管理,2,2,2,2,2,1.92,1.4,1.64,2.11,2.1,1.7,2.02,1,50,400,2,30,240,7,15,347,986.5,10,2,480,跑步,3,2,3,1,1,2,2,1,2,1,1,3,3,2,1,2,2,2,2,1,3,2,2,2,1,3,1,2,3,2,2,2,1,4,2,2,1,2,2,2,2,2,2,2,2,2,4,2,2,3,2,2,1,2,2,1,2,2,2,2,3,3
9,20,大二,工,2,2,2,2,3,1.0,1.5,1.45,2.11,1.2,1.6,1.63,0,0,0,7,20,560,7,50,1155,1715.0,14,2,300,跑步，骑车，爬楼梯,3,2,2,1,4,1,1,1,3,1,1,1,1,1,1,3,3,3,4,1,1,1,1,1,1,2,2,1,1,1,1,1,3,1,1,3,1,1,1,1,3,2,1,1,1,1,3,3,4,1,2,1,1,3,3,1,1,1,1,1,1,1
10,19,2020,工,2,2,3,2,2,1.08,1.3,1.18,1.44,0.9,0.9,1.27,3,10,240,7,40,1120,7,40,924,2284.0,17,2,600,跳绳,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1
11,19,2020级,工,1,1,4,3,1,1.83,1.6,1.64,1.89,1.9,1.8,2.0,4,30,960,3,10,120,7,30,693,1773.0,14,2,420,篮球，跑步,2,3,4,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,3,2,2,2,1,2,2,3,3,2,2,3,2,1,1,3,2,3,1,1,2,2,1,1,2,3,2,1,3,2,2,2,2,1,2,3,1,3,2,4,2,2,2,2
12,19,大二,工,2,2,3,3,2,3.0,3.0,2.73,2.78,2.7,3.3,3.24,7,30,1680,7,30,840,7,30,693,3213.0,21,3,480,步行 跑步,3,3,3,2,3,4,3,4,4,3,1,2,3,3,4,3,3,2,4,3,4,4,3,3,3,4,2,3,4,3,4,4,3,3,4,4,3,3,3,4,3,3,3,3,4,4,4,4,4,4,2,2,3,4,2,2,4,4,3,4,4,3
13,19,大二,理,1,2,3,2,2,1.42,1.8,2.0,2.44,3.0,1.3,2.18,4,30,960,4,60,960,7,60,1386,3306.0,15,3,210,骑车,4,2,1,1,1,1,1,3,3,1,2,3,1,2,1,2,1,3,3,1,5,1,1,1,2,3,5,5,3,1,3,1,2,5,3,1,2,2,2,2,2,3,1,3,3,3,2,1,1,1,3,1,1,3,3,3,3,3,1,1,3,3
15,18,20级,工,2,1,3,3,2,1.25,1.8,2.55,2.0,2.7,1.9,2.27,1,40,320,7,30,840,7,30,693,1853.0,15,2,480,打球，散步,4,1,2,1,2,1,2,2,3,2,3,3,3,1,3,4,2,2,3,1,3,1,1,1,2,3,2,3,2,1,2,2,4,3,1,2,3,2,3,2,3,3,3,1,1,2,2,2,2,2,2,2,2,3,1,3,3,3,3,3,3,4
16,19,2020级,理,2,2,3,3,2,1.83,1.8,1.82,1.78,1.8,1.8,2.02,0,0,0,7,30,840,7,30,693,1533.0,14,2,480,步行,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
17,19,2020,理,2,1,3,3,3,2.33,2.2,2.09,2.0,2.0,2.2,2.39,0,0,0,7,30,840,7,40,924,1764.0,14,2,480,爬楼,3,2,3,2,1,4,3,2,2,3,1,1,2,2,3,2,3,2,3,1,2,2,1,3,3,3,2,3,3,3,3,2,3,2,3,3,2,1,2,3,4,3,1,3,3,3,3,3,2,3,2,2,1,3,2,1,2,3,2,3,3,2
19,19,2020,工,1,2,3,3,1,2.0,1.9,2.36,2.11,1.9,2.2,2.29,4,40,1280,7,20,560,7,10,231,2071.0,18,2,240,跑步，篮球,4,2,2,1,1,2,2,2,2,1,2,3,2,3,3,3,3,2,2,1,2,3,2,3,2,3,2,2,3,1,3,2,3,1,2,2,2,1,3,3,4,2,3,2,2,2,4,3,2,2,2,2,1,3,2,3,3,3,2,3,3,1
20,18,2020,管理,2,2,3,3,2,2.75,2.5,2.18,2.22,2.4,1.9,2.61,2,30,480,6,30,720,7,30,693,1893.0,15,2,480,篮球,5,3,3,3,3,3,3,2,2,3,1,2,2,2,3,2,3,2,2,1,3,3,3,3,3,4,2,3,3,3,3,3,5,5,4,3,3,3,3,1,3,3,3,3,1,2,3,3,3,3,3,2,1,1,1,1,2,2,2,2,2,3
21,19,2020,文,2,2,3,3,3,2.33,2.4,2.55,2.22,2.7,2.4,2.74,0,0,0,0,0,0,5,10,165,165.0,5,1,480,跑步,5,2,3,2,3,3,2,3,3,3,2,3,2,2,2,3,3,2,3,2,3,3,3,3,3,2,2,3,4,3,2,2,3,4,3,3,3,2,2,3,2,2,3,2,2,3,3,3,3,2,2,2,3,3,3,4,3,4,3,2,3,4
22,18,大一,工,1,2,3,3,1,0.92,0.9,0.91,0.89,0.9,0.9,1.0,1,30,240,7,30,840,7,90,2079,3159.0,15,3,240,打篮球 步道乐跑,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,19,20级,工,1,2,2,2,1,0.92,1.4,1.0,0.89,1.2,0.9,1.23,2,40,640,7,25,700,7,60,1386,2726.0,16,2,480,篮球，长跑,4,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1
