,年龄,性别,家庭所在地,家庭经济情况,学习成绩,对待体育活动的态度,剧烈运动天数,剧烈运动单日分钟数,适度运动天数,适度运动单日分钟数,步行天数,步行单日分钟数,工作日久坐分钟数,认知,人际,情感,公正,节制,超越,积极心理品质得分,剧烈运动一周分钟数,适度运动一周分钟数,步行一周分钟数,剧烈运动MET,适度运动MET,步行MET,总MET,身体活动水平
年龄,1.0,0.013929030895286415,0.030057896274886056,-0.025703499282923026,-0.01391943561008217,-0.1028766664435802,-0.10062861991841658,-0.05045058147163901,-0.04217364224265641,-0.014838360040746018,-0.10923701846901065,-0.07537905619027008,0.04224925650664819,-0.023116510135258443,-0.048652293121389315,-0.022632642183698766,0.012186301603188872,-0.01676019885564497,0.0041991973033151265,-0.01796079328199153,-0.055269462319375184,-0.04192168212617058,-0.07459088966573052,-0.055269462319375184,-0.04192168212617058,-0.0745908896657305,-0.0782345049187847,-0.11961148457648249
性别,0.013929030895286415,1.0,0.050052643694892346,0.044889609669160675,0.10312656732054007,-0.19902156727293221,-0.1836204754005803,-0.16474493833418452,-0.00893984739615215,-0.05714588536521444,0.05142895484921412,0.0039517835722336905,0.08180457033546379,-0.0017253011287199744,0.022852699393993144,0.06500346903322109,0.03201877732575031,0.017139404184561155,-0.04626327040983384,0.01565243351046357,-0.16420714657226432,-0.026262102788507113,0.0012295611952926305,-0.16420714657226432,-0.026262102788507113,0.001229561195292332,-0.10798811986734884,-0.0838704761674939
家庭所在地,0.030057896274886056,0.050052643694892346,1.0,0.37602895211573195,0.1638614261338649,0.0022656176531582004,0.03302156200255891,-0.0032152247627799985,0.05578791245003504,0.020602956193059744,0.022044694576669095,-0.03926031546604372,-0.048932444372943126,0.1155400908448905,0.11649727208437947,0.09611275601295237,0.13240164102525487,0.04489727541618512,0.09939367200334094,0.11235135192636057,0.039406774879244905,0.035984111713042465,-0.01481186961736543,0.039406774879244905,0.035984111713042465,-0.01481186961736532,0.02947377572698386,0.06605894226446922
家庭经济情况,-0.025703499282923026,0.044889609669160675,0.37602895211573195,1.0,0.27466707744045205,-0.0011107225844048257,0.04151471735216246,0.05215883465408354,0.10671206003063502,0.04638084149845135,0.08371170982099461,0.06508632117380561,-0.09455814220501811,0.12935966904310758,0.10775274898866723,0.12797769652845606,0.15817921000508495,0.05781801621852918,0.11343220522235742,0.1292604381684062,0.044777001676366834,0.07702974947136207,0.07691824824642303,0.044777001676366834,0.07702974947136207,0.0769182482464231,0.08416199924017911,0.09952534425569
学习成绩,-0.01391943561008217,0.10312656732054007,0.1638614261338649,0.27466707744045205,1.0,0.08916934162198167,0.06865443275932963,0.06286624584815032,0.06605545237192222,0.053017080669174134,0.10000895617714568,0.029959442148395275,0.017336210509857196,0.3565443234650741,0.32846762349533243,0.2673509731936975,0.23696131989221936,0.19919643781424048,0.2691406709408242,0.31269286078957315,0.04456771296387537,0.038630556523335344,0.042562777615744354,0.04456771296387537,0.038630556523335344,0.042562777615744354,0.057333095177844635,0.09541170434187259
对待体育活动的态度,-0.1028766664435802,-0.19902156727293221,0.0022656176531582004,-0.0011107225844048257,0.08916934162198167,1.0,0.37011122068156976,0.41325646242788,0.16911864408906416,0.23709973023165923,0.0858575879449973,0.07507643468025021,-0.12417547104845238,0.2502620127138582,0.2508901531062835,0.2113012508611304,0.18280515605813016,0.16482935932599652,0.1938061265227142,0.23596827182862268,0.37416772849933244,0.23528650311246135,0.07606462480209118,0.37416772849933244,0.23528650311246135,0.07606462480209135,0.3355825461098398,0.30353632997012975
剧烈运动天数,-0.10062861991841658,-0.1836204754005803,0.03302156200255891,0.04151471735216246,0.06865443275932963,0.37011122068156976,1.0,0.5385901878141856,0.48304347827286837,0.36549649254142025,0.3479951113584144,0.21960345390251557,-0.07849983679714317,0.17865422828128988,0.17123082881707627,0.13521103365021492,0.10201054912569284,0.13570465692542769,0.15484485076374857,0.16571012071495536,0.7210890931135273,0.40943249207826593,0.23332989048576952,0.7210890931135273,0.40943249207826593,0.23332989048576946,0.6685740496551295,0.7169915789478151
剧烈运动单日分钟数,-0.05045058147163901,-0.16474493833418452,-0.0032152247627799985,0.05215883465408354,0.06286624584815032,0.41325646242788,0.5385901878141856,1.0,0.24660293914611411,0.48242482004704096,0.2605758443113855,0.20551384872723802,0.13268814270647447,0.11205958145397799,0.13282608193643364,0.05878009497105185,0.03331107944420617,0.019353627597598604,0.11967483899720992,0.09027718929210823,0.8124376264074493,0.40192909132748045,0.18780153822588352,0.8124376264074493,0.40192909132748045,0.18780153822588364,0.7028495372409858,0.5240826461340612
适度运动天数,-0.04217364224265641,-0.00893984739615215,0.05578791245003504,0.10671206003063502,0.06605545237192222,0.16911864408906416,0.48304347827286837,0.24660293914611411,1.0,0.47735969109217224,0.47839742770312815,0.20801750239428365,-0.04802896779563412,0.10754469612256792,0.08675799884291617,0.08439594685013213,0.055695379533822705,0.0716196090401876,0.1132882223651447,0.0982637629217395,0.28047236966582334,0.6552419495405915,0.23977373253749373,0.28047236966582334,0.6552419495405915,0.239773732537494,0.48236612793488737,0.5848774885678203
适度运动单日分钟数,-0.014838360040746018,-0.05714588536521444,0.020602956193059744,0.04638084149845135,0.053017080669174134,0.23709973023165923,0.36549649254142025,0.48242482004704096,0.47735969109217224,1.0,0.32544479193186504,0.30191893993141544,-0.09828299768807683,0.14645084999229863,0.11887381574694805,0.08924549021620773,0.10201797699487149,0.06679731405784443,0.16784143433449955,0.1304832989246294,0.46068378390114045,0.8695734258379948,0.2988547596561132,0.46068378390114045,0.8695734258379948,0.2988547596561135,0.6859833816123181,0.5501685421292645
